id,correctAnswer
102501,C
102502,D
102503,B
102504,C
102505,D
102506,B
102507,C
102508,B
102509,A
102510,C
102511,A
102512,C
102513,D
102514,B
102515,C
102516,A
102517,A
102518,A
102519,B
102520,B
102521,D
102522,B
102523,A
102524,B
102525,B
102526,D
102527,C
102528,D
102529,B
102530,B
102531,B
102532,C
102533,A
102534,B
102535,D
102536,D
102537,B
102538,A
102539,D
102540,B
102541,C
102542,D
102543,C
102544,D
102545,D
102546,B
102547,B
102548,C
102549,C
102550,B
102551,A
102552,B
102553,C
102554,D
102555,B
102556,A
102557,C
102558,D
102559,B
102560,A
102561,D
102562,C
102563,B
102564,C
102565,C
102566,B
102567,D
102568,A
102569,B
102570,D
102571,C
102572,A
102573,D
102574,B
102575,C
102576,D
102577,A
102578,A
102579,D
102580,A
102581,D
102582,B
102583,A
102584,C
102585,A
102586,D
102587,B
102588,B
102589,B
102590,D
102591,A
102592,D
102593,B
102594,B
102595,D
102596,B
102597,D
102598,C
102599,D
102600,D
102601,C
102602,C
102603,A
102604,A
102605,B
102606,C
102607,C
102608,C
102609,A
102610,C
102611,B
102612,D
102613,C
102614,C
102615,C
102616,A
102617,A
102618,D
102619,D
102620,C
102621,B
102622,C
102623,B
102624,B
102625,B
102626,D
102627,B
102628,C
102629,C
102630,A
102631,D
102632,A
102633,A
102634,A
102635,D
102636,B
102637,B
102638,D
102639,A
102640,B
102641,A
102642,B
102643,A
102644,A
102645,A
102646,B
102647,D
102648,B
102649,B
102650,B
102651,D
102652,A
102653,B
102654,A
102655,D
102656,B
102657,D
102658,C
102659,C
102660,C
102661,B
102662,A
102663,A
102664,C
102665,D
102666,C
102667,B
102668,A
102669,A
102670,C
102671,C
102672,B
102673,D
102674,A
102675,B
102676,A
102677,C
102678,D
102679,D
102680,D
102681,D
102682,C
102683,B
102684,D
102685,C
102686,A
102687,A
102688,C
102689,D
102690,D
102691,D
102692,B
102693,B
102694,A
102695,B
102696,A
102697,A
102698,A
102699,C
102700,A
102701,B
102702,D
102703,C
102704,C
102705,B
102706,C
102707,B
102708,B
102709,A
102710,A
102711,C
102712,C
102713,B
102714,D
102715,C
102716,A
102717,C
102718,B
102719,A
102720,B
102721,C
102722,A
102723,D
102724,B
102725,B
102726,B
102727,B
102728,A
102729,C
102730,B
102731,D
102732,D
102733,C
102734,B
102735,A
102736,D
102737,C
102738,A
102739,A
102740,C
102741,B
102742,B
102743,B
102744,D
102745,C
102746,B
102747,D
102748,C
102749,C
102750,A
102751,C
102752,D
102753,A
102754,A
102755,B
102756,A
102757,B
102758,A
102759,B
102760,D
102761,C
102762,D
102763,A
102764,C
102765,B
102766,D
102767,C
102768,D
102769,D
102770,D
102771,D
102772,B
102773,D
102774,C
102775,C
102776,C
102777,B
102778,C
102779,C
102780,B
102781,D
102782,D
102783,A
102784,D
102785,A
102786,A
102787,B
102788,A
102789,D
102790,C
102791,C
102792,C
102793,D
102794,C
102795,B
102796,B
102797,B
102798,A
102799,D
102800,B
102801,D
102802,A
102803,D
102804,A
102805,D
102806,A
102807,C
102808,B
102809,B
102810,C
102811,C
102812,A
102813,A
102814,A
102815,B
102816,B
102817,D
102818,B
102819,D
102820,A
102821,C
102822,B
102823,B
102824,A
102825,B
102826,C
102827,B
102828,A
102829,C
102830,C
102831,D
102832,C
102833,D
102834,C
102835,A
102836,B
102837,C
102838,B
102839,C
102840,D
102841,B
102842,D
102843,A
102844,D
102845,B
102846,A
102847,D
102848,A
102849,C
102850,B
102851,B
102852,A
102853,A
102854,C
102855,B
102856,B
102857,B
102858,D
102859,D
102860,C
102861,A
102862,D
102863,A
102864,D
102865,D
102866,A
102867,C
102868,C
102869,A
102870,A
102871,A
102872,A
102873,D
102874,B
102875,B
102876,A
102877,A
102878,C
102879,D
102880,A
102881,B
102882,D
102883,B
102884,C
102885,A
102886,C
102887,B
102888,D
102889,B
102890,D
102891,D
102892,B
102893,D
102894,D
102895,C
102896,D
102897,A
102898,C
102899,D
102900,A
102901,A
102902,C
102903,A
102904,A
102905,D
102906,A
